sample_name,short_sample_name,treatment,run_order,soluble_solids,mass
FreshJuice2_neg_54,FJ-2,FJ,54,10.3,0.4278
40TT_10M6_neg_72,MT-6,MT,72,10.2,0.4262
40TT4_neg_49,40TT-4,40TT,49,9.9,0.4253
40TT1_neg_53,40TT-1,40TT,53,10.1,0.4335
40TT6_neg_69,40TT-6,40TT,69,10,0.429
40TT3_neg_39,40TT-3,40TT,39,9.9,0.4294
40TT_10M4_neg_26,MT-4,MT,26,10.4,0.4255
40TT2_neq_22,40TT-2,40TT,22,10,0.4279
HPP1_neg_33,HPP-1,HPP,33,10.5,0.4293
FreshJuice5_neg_73,FJ-5,FJ,73,10.3,0.4268
FreshJuice3_neg_64,FJ-3,FJ,64,10.3,0.4388
FreshJuice6_neg_45,FJ-6,FJ,45,10.3,0.4247
40TT5_neg_61,40TT-5,40TT,61,9.7,0.4276
70TT1_neg_70,70TT-1,70TT,70,10.4,0.4285
70TT5_neg_30,70TT-5,70TT,30,10.5,0.4261
70TT7_neg_76,70TT-7,70TT,76,10.3,0.4354
40TT_10M3_neg_46,MT-3,MT,46,10.2,0.4323
40TT_10M1_neq_18,MT-1,MT,18,10.4,0.4289
40TT_10M5_neg_40,MT-5,MT,40,10.3,0.4257
70TT4_neg_55,70TT-4,70TT,55,10.4,0.4296
70TT6_neg_32,70TT-6,70TT,32,10.4,0.427
FreshJuice1_neq_24,FJ-1,FJ,24,10.3,0.4312
70TT2_neq_25,70TT-2,70TT,25,10.4,0.4327
FreshJuice4_neg_38,FJ-4,FJ,38,10.3,0.4368
40TT_10M2_neq_16,MT-2,MT,16,10.3,0.4284
70TT3_neq_14,70TT 3,70TT,14,10.3,0.4308
FreshJuice_neq_17,FJ,FJ,17,10.3,0.428
MEF_SS1_neg_56,MEF+SS-1,MEF+SS,56,8.7,0.4291
HPP2_neq_15,HPP-2,HPP,15,10.4,0.4335
MEF_SS5_neg_36,MEF+SS-5,MEF+SS,36,9.3,0.4295
MEF_SS6_neg_75,MEF+SS-6,MEF+SS,75,8.9,0.4306
MEF_SS2_neg_34,MEF+SS-2,MEF+SS,34,8.7,0.4296
QC6_neg_43,QC-6,QC,43,9.8,0.4295
MEF2_neg_60,MEF-2,MEF,60,9.6,0.4289
MEF_SS4_neg_68,MEF+SS-4,MEF+SS,68,9.9,0.4259
QC8_neg_59,QC-8,QC,59,9.8,0.4295
MEF_SS3_neg_52,MEF+SS-3,MEF+SS,52,9.9,0.4303
MEF1_neg_41,MEF-1,MEF,41,8.5,0.4326
QC10_neg_74,QC-10,QC,74,9.8,0.4295
QC5_neg_35,QC-5,QC,35,9.8,0.4295
QC11_neg_78,QC-11,QC,78,9.8,0.4295
QC7_neg_51,QC-7,QC,51,9.8,0.4295
QC12_neg_79,QC-12,QC,79,9.8,0.4295
QC9_neg_67,QC-9,QC,67,9.8,0.4295
QC3_neq_20,QC-3,QC,20,9.8,0.4295
QC4_neg_28,QC-4,QC,28,9.8,0.4295
MEF3_neg_44,MEF-3,MEF,44,9.8,0.4243
MEF5_neg_50,MEF-5,MEF,50,9.3,0.4228
QC2_neg_13,QC-2,QC,13,9.8,0.4295
HPP5_neg_71,HPP-5,HPP,71,10.3,0.4328
HPP3_neg_27,HPP-3,HPP,27,10.4,0.4322
HPP6_neg_31,HP-P6,HPP,31,10.4,0.4291
US1_neq_23,US-1,US,23,6.1,0.4226
MEF4_neg_29,MEF-4,MEF,29,9.4,0.4306
US2_neg_48,US-2,US,48,8.1,0.426
US3_neg_47,US-3,US,47,9,0.427
UST5_neg_63,UST-5,UST,63,10.3,0.4365
US4_neg_65,US-4,US,65,9.6,0.4365
UST1_neg_37,UST-1,UST,37,8.6,0.4262
UST2_neq_19,UST-2,UST,19,9,0.4282
UST3_neg_57,UST-3,UST,57,9.8,0.4222
US6_neg_66,US-6,US,66,10.1,0.4304
QC1_neg_12,QC-1,QC,12,9.8,0.4295
UST6_neg_62,UST-6,UST,62,10.4,0.4345
UST4_neg_58,UST-4,UST,58,10.3,0.4333
HPP4_neq_21,HPP-4,HPP,21,10.4,0.4334
US5_neg_42,US-5,US,42,10,0.4319
